"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QUIGIP9M","conferencePaper","2015","Barreaux, Nicole","Colecciones del Departamento de Antropología: nuevos desafíos para su conservación frente a la gestación de políticas institucionales del patrimonio (bicentenario)","Libro de Resúmenes, V Congreso de Conservación y Restauración de Chile","","","","https://www.academia.edu/22696662/LIBRO_DE_RESÚMENES_22_AL_24_DE_JULIO_DE_2015","","2015","2018-02-14 07:30:26","2021-08-10 04:22:29","","179-183","","","","","","","","","","","AGCR","Santiago, Chile","","","","","","","","Sin región;Manejo de cuerpos humanos","","","","colecciones; patrimonio","","Mujica, Paloma; Restauración, Centro Nacional de Conservación y; DIBAM; Rodríguez, Cecilia; AGCR-Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQ2C4223","conferencePaper","2015","Barreaux, Nicole; Espinoza, M.C.; Flores‐Alvarado, Sandra; Galimany, Jacqueline; González Oyarce, Rocío; Jara, Karmina; Krapivka, Sebastián; Morales, Héctor; Quiñones, Edixon","Puesta en valor de la colección osteológica subactual de Santiago","Libro de Resúmenes, V Congreso de Conservación y Restauración de Chile","","","","https://www.academia.edu/22696662/LIBRO_DE_RESÚMENES_22_AL_24_DE_JULIO_DE_2015","","2015","2018-02-14 07:30:27","2021-08-10 04:22:24","","183-189","","","","","","","","","","","AGCR","Santiago, Chile","","","","","","","","Sin región;Manejo de cuerpos humanos","","","","Colección Osteológica Subactual de Santiago","","Mujica, Paloma; Rodríguez, Cecilia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V Congreso de Conservación y Restauración de Chile","","","","","","","","","","","","","","",""
"TQTZI3M2","journalArticle","2008","Lemp, Cecilia; Rodríguez, Mónica; Retamal, Rodrigo; Aspillaga, Eugenio","Arqueología del depósito: manejo integral de las colecciones bioantropológicas en el Departamento de Antropología de la Universidad de Chile","Conserva","","","","http://www.patrimoniocultural.gob.cl/Recursos/Contenidos/Centro%20de%20Conservación/archivos/DocAdjunto_1342.pdf","The Department of Anthropology of the Faculty of Social Sciences of the University of Chile is the depositary, since the 1950s, of a valuable collection of bioanthropological material, constituting an important source of scientific and cultural information for countless investigations and academic activities. Due to different historical and administrative processes that have affected the institution, the conservation and management of these collections have suffered. This situation triggered the initiative of two projects of the Fundación Andes (C-23603 and C-23922-25 ) for the valorization and management of collections as a solution to the problem. The proposals were formulated and developed by a multidisciplinary team of physical archaeology and anthropology professionals of the abovementioned university, as well as professionals from the National Center for Conservation and Restoration (CNCR) and the Center of Heritage Documentation (CDBP), both branches of the Department of Libraries, Archives and Museums (DIBAM). The article hereunder describes the processes that were carried out for the conservation and valorization of bioanthropological material, with special emphasis on methodologies and technical aspects. The experience of the aforementioned projects exemplifies the role different public institutions such as our university can play which, as depositaries of heritage pieces, have the mission to valorize this material for its study and dissemination.","2008","2018-02-14 07:30:28","2021-08-10 04:22:20","","69-96","","12","","","","","","","","","","","","","","","","","","Sin región;Manejo de cuerpos humanos","","","","bioanthropology; collection's management; conservation; physical anthropology; University of Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4NI7IBL","thesis","2015","Galimany, Jacqueline","Patrones de parentesco y residencia mediante DNA antiguo en el uso mortuorio de la cueva Estero Sur, Archipiélago de los Chonos","","","","","http://repositorio.uchile.cl/handle/2250/136512","","2015","2018-02-14 07:31:30","2021-04-16 18:27:01","","","","","","","","","","","","","Memoria para optar al Título de Antropóloga Física, Universidad de Chile","Santiago, Chile","","","","","","","","Sur,Extremo Sur;Genética","","","","parentesco; aDNA uniparental; cazador-recolector marino; cueva mortuoria; residencia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKH59EJL","journalArticle","1999","Constantinescu, Florence","Evidencias bioantropológicas para modos de vida cazador recolector terrestre y marítimo en los restos óseos humanos de Tierra del Fuego","Anales del Instituto de la Patagonia, serie Ciencias Humanas","","","","http://www.bibliotecadigital.umag.cl/handle/20.500.11893/1335","","1999","2018-02-14 07:31:49","2021-04-11 20:51:02","","137-174","","","27","","","","","","","","","","","","","","","","","Extremo Sur;Bioarqueología","","","","modos de vida; cazador recolector terrestre; Tierra del Fuego","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAZ8E9VH","journalArticle","1997","Aspillaga, Eugenio; Ocampo, Carlos; Olivares, Juan Carlos; Arensburg, Baruch; Meyer, Jorge","Una Visita a los Canoeros de Quetalmahue","EXCERPTA","","","","http://www.facso.uchile.cl/publicaciones/biblioteca/docs/excerpta/excerpta9.pdf","","1997","2018-02-14 07:31:49","2021-04-13 02:51:47","","","","","9","","","","","","","","","","","","","","","","","Sur;Población viva,Bioarqueología","","","","Quetalmahue; canoeros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A52Y5HA8","journalArticle","1999","Rivas, Pilar; Ocampo, Carlos; Aspillaga, Eugenio","Poblamiento temprano de los canales patagonicos: El nucleo ecotonal septentrional","Anales del Instituto de la Patagonia, serie Ciencias Humanasa","","","","http://bibliotecadigital.umag.cl/handle/20.500.11893/1349","","1999","2018-02-14 07:31:49","2021-03-29 04:16:20","","221-230","","","27","","","","","","","","","","","","","","","","","Sur,Extremo Sur;Bioarqueología","","","","canales septentrionales; poblamiento temprano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXJAZ7Q9","journalArticle","1984","Ocampo, Carlos; Aspillaga, Eugenio","Breves notas sobre una prospección arqueológica en los archipiélagos de las Guaitecas y los Chonos","Revista Chilena de Antropología","","","10.5354/0719-1472.2011.17636","https://revistadeantropologia.uchile.cl/index.php/RCA/article/view/17636","","1984","2018-02-14 07:31:50","2021-04-13 04:44:04","","155-156","","","4","","","","","","","","","","","","","","","","","Sur,Extremo Sur;Bioarqueología","","","","Chono; prospección; Guaitecas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXX2RBYX","book","1989","Gusinde, Martin","Los indios de Tierra del Fuego. Tomo IV: Antropología Física","","","","","","","1989","2018-02-14 07:31:51","2021-04-11 21:04:58","","","","","","","","","","","","","Centro Argentino de Etnología Americana","Buenos Aires","","","","","","","","Extremo Sur;Población viva","","","","Tierra del Fuego","","","","","","","","","","","","","","","","","","","","","Primera","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LN3938NU","thesis","2012","Rodríguez, Mónica","Análisis intrapoblacional e interpoblacional de paleopatologías en la Colección Archipiélago de Chonos de la Universidad de Chile","","","","","http://repositorio.uchile.cl/handle/2250/135415","","2012","2018-02-14 07:32:57","2021-05-16 04:06:36","","","","","","","","","","","","","Memoria para optar al Título de Antropóloga Física, Universidad de Chile","Santiago, Chile","","","","","","","","Sur,Extremo Sur;Bioarqueología","","","","paleopatología; Archipiélago de los Chonos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6NA4FA9","journalArticle","2012","Ross, Ann; Manneschi, María José","Corrigendum to: ""New identification criteria for the Chilean population: Estimation of sex and stature""","Forensic Science International","","","","https://www.sciencedirect.com/science/article/pii/S0379073812003684","","2012","2018-02-14 07:33:07","2021-04-17 02:43:15","","376-376","","1–3","223","","","","","","","","","","","","","","","","","Sin región;Forense,Osteología","","","","estimación de estatura; erratum; estimación de sexo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29KE3TU4","journalArticle","2011","Ross, Ann; Manneschi, María José","New identification criteria for the Chilean population: Estimation of sex and stature","Forensic Science International","","","10.1016/j.forsciint.2010.07.028","http://repositorio.uchile.cl/bitstream/handle/2250/121636/Ross_Ann.pdf?sequence=1","","2011","2018-02-14 07:33:08","2021-04-13 03:32:25","","206.e1-206.e3","","1–3","204","","","","","","","","","","","","","","","","","Sin región;Forense,Osteología","","","","estatura; estimación de estatura; chilenos; teorema de Bayes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBYW59MU","conferencePaper","2006","Moraga, Mauricio; Venegas, Juan; Westfall, Catherine; González, Carlos","Análisis prospectivo de ADN mitocondrial y ADN nuclear en muestras humanas del sitio Formativo Cementerio Regimiento Chorrillos de Calama","Actas del XVII Congreso Nacional de Arqueología Chilena","","","","https://www.researchgate.net/publication/329450527_Analisis_prospectivo_de_DNA_Mitocondrial_y_Nuclear_en_muestras_humanas_del_sitio_formativo_Cementerio_Regimiento_Chorrillos_de_Calama_Chile","","2006","2018-02-14 07:33:36","2021-04-13 03:24:26","","","","","","","","","","","","","Sociedad Chilena de Arqueología","Valdivia","","","","","","","","Norte Grande;Genética","","","","DNA Mitocondrial; DNA Nuclear; sitio funerario; período Formativo; Antofagasta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXNM4WRU","conferencePaper","2006","González, Carlos; Westfall, Catherine","Cementerio Regimiento Chorrillos de Calama: Testimonios Funerarios Fomativos en el Loa Medio, Región de Antofagasta","Actas XVII Congreso Nacional de Arqueología Chilena","","","","https://www.academia.edu/7241915/Cementerio_Regimiento_Chorrilos_de_Calama_testimonios_funerarios_formativos_en_el_Loa_Medio_Region_de_Antofagasta","","2006","2018-02-14 07:33:36","2021-03-29 04:14:05","","95-105","","","","","","","","","","","Kultrun","","","","","","","","","Norte Grande;Bioarqueología","","","","cementerio; prácticas funerarias; prehistoria Loa Medio; período formativo circumpuneño","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8IAXL7C","journalArticle","2004","Henríquez, Hugo; Moraga, Mauricio; Llop, Elena; Rothhammer, Francisco","Caracterización genético molecular de habitantes de Caleta Paposo, último reducto Chango en Chile","Revista Médica de Chile","","","http://dx.doi.org/10.4067/S0034-98872004000600002","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0034-98872004000600002","","2004","2018-02-14 07:33:41","2021-04-13 03:43:48","","663-672","","","132","","","","","","","","","","","","","","","","","Norte Grande;Genética,Población viva","","","","population genetics; South America; Chango; ABO Blood-group system; Duffy Blood-group system; ethnic groups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JF23RBA5","journalArticle","2001","Moraga, Mauricio; Aspillaga, Eugenio; Santoro, Calogero M.; Standen, Vivien G.; Carvallo, Pilar; Rothhammer, Francisco","Análisis de ADN mitocondrial en momias del norte de Chile avala hipótesis de origen amazónico de poblaciones andinas","Revista Chilena de Historia Natural","","","","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0716-078X2001000300018","","2001","2018-02-14 07:33:44","2021-08-10 04:11:03","","719-726","","","74","","","","","","","","","","","","","","","","","Norte Grande;Genética","","","","restos esqueléticos; origen amazónico de poblaciones andinas; ADNmt antiguo; microevolución biocultural; Valle de Azapa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WIGP82DI","journalArticle","2010","Rothhammer, Francisco; Moraga, Mauricio; Santoro, Calogero M.; Arriaza, Bernardo T.","Origen de los Changos. Análisis de ADNmt antiguo sugiere descendencia de pescadores de la cultura Chinchorro (7.900 4.000 A.P.)","Revisa Médica de Chile","","","10.4067/S0034-98872010000200016","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000200016","","2010","2018-02-14 07:33:44","2021-04-17 02:05:40","","251-256","","","138","","","","","","","","","","","","","","","","","Norte Grande;Genética","","","","ADN mitocondrial; genética de poblaciones; indígenas sudamericanos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
